url,label
https://news.detik.com/berita/d-7881228/perkuat-bilateral-ri-denmark-tandatangani-aksi-kemitraan-strategis-2025-2029,0
https://www.tempo.co/hukum/ppatk-perputaran-uang-judi-online-2025-mencapai-rp-1-200-triliun--1233401,1
https://www.youtube.com/watch?v=qdeIsm6JFN0,1
https://id.wikipedia.org/wiki/Judi_daring,1
https://www.google.co.id/intl/id/about/products?tab=wh,0
https://www.antaranews.com/berita/4749953/indonesia-kena-kenaikan-tarif-as-sebesar-32-persen,0
https://caprazkaracigernakli.inonu.edu.tr/,0
https://news.detik.com/indeks,0
https://www.antaranews.com/,0
https://fatepa.unram.ac.id/,0
https://www.detik.com/,0
https://moodle.ebserh.gov.br/,0
https://www.youtube.com/watch?v=HlShlO4EhGg,1
https://www.youtube.com/watch?v=c0pBi7wXpL0,1
https://www.liputan6.com/news,0
https://www.liputan6.com/indeks,0
https://www.kompas.com/,0
https://jogja.viva.co.id/warta/2554-negara-telah-gagal-berantas-judi-online,1
https://www.hukumonline.com/klinik/a/ikut-judi-online-dari-luar-negeri-lt5fabd3a5f21a8,1
https://www.rri.co.id/internasional/1466165/malaysia-interested-in-learning-and-sharing-information-with-indonesia-on-disaster-mitigation-and-preparedness-efforts,0
https://abstrak.id/kapolres-bolmong-utara-pimpin-langsung-pemeriksaan-anggota-terkait-judi-online/,1
https://news.detik.com/,0
https://bola.kompas.com/timnas-indonesia,0
https://www.tempo.co/,0
https://jogja.polri.go.id/yogyakarta/tribrata-news/online/detail/judi-online--ancaman-nyata-di-era-digital--jeratan-hukum-menanti.html,1
https://news.detik.com/berita,0
https://www.kompas.com/hype,0
https://www.antaranews.com/sepakbola/liga-indonesia,0
https://www.antaranews.com/terkini,0
https://www.detik.com/terpopuler/news,0
https://www.okezone.com/tag/judi-online,1
https://bola.kompas.com/liga-indonesia,0
https://www.youtube.com/watch?v=Rxz09PtI_m8,1
https://www.liputan6.com/popular,0
https://www.antaranews.com/politik,0
https://www.detik.com/tag/timnas-indonesia,0
https://news.detik.com/berita/d-7879553/viral-situs-disdik-depok-diretas-jadi-situs-judi-online-ini-kata-disdik,1
https://suarapublik.id/stop-judi-online-kapolres-banyuasin-pelaku-akan-ditindak-tegas/,1
https://lumendatabase.org/notices/51179692,1
https://money.kompas.com/read/2025/04/22/091144126/lg-batal-investasi-baterai-77-miliar-dollar-di-indonesia-sejak-awal-disebut,0
https://www.liputan6.com/,0
https://www.youtube.com/watch?v=KM-HhPw1EkM,1
https://nasional.kompas.com/,0
https://www.youtube.com/watch?v=0iuGIWXljWY,1
